ce mg/l;qe mg/g
0.067658135;0.00279842
0.732549704;0.008277927
1.39679459;0.015924094
2.013109965;0.023350299
2.702386751;0.030265328
3.61715383;0.043134945
6.775845466;0.089652219
15.2434019;0.163933938
23.38928675;0.241032132
31.69015437;0.314914488
47.40009428;0.372558932
49.76290041;0.457330387
76.70842929;0.621438141
141.8359094;0.849503491
176.8536364;1.23964428
196.0072379;1.508190943
