;t3h;27h;51h;75h
LSD Fisher;P=0.595;P<0.089;P<0.001;P<0.001
C;a;ab;b;b
-Fe;a;b;b;a
-N;a;a;b;a
-P;a;ab;b;a
-S;a;a;a;ab
